7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:30,13:00,13:20,13:30,13:40,14:00,14:15,14:20,14:30,14:40,14:45,15:00,15:15,15:20,15:30,15:40,15:45,16:00,16:15,16:20,16:30,16:40,16:45,17:00,17:15,17:20,17:30,17:40,17:45,18:00,18:15,18:30,19:00,19:30,20:00,20:30,21:00,21:15,21:30
8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:45,13:15,13:35,13:45,13:55,14:15,14:30,14:35,14:45,14:55,15:00,15:15,15:30,15:35,15:45,15:55,16:00,16:15,16:30,16:35,16:45,16:55,17:00,17:15,17:30,17:35,17:45,17:55,18:00,18:15,18:30,18:45,19:15,19:45,20:15,20:45,21:15,21:30,21:45
8:05,8:20,8:35,8:50,9:05,9:20,9:35,9:50,10:05,10:20,10:35,10:50,11:05,11:20,11:35,11:50,12:05,12:20,12:50,13:20,,13:50,,14:20,14:35,,14:50,,15:05,15:20,15:35,,15:50,,16:05,16:20,16:35,,16:50,,17:05,17:20,17:35,,17:50,,18:05,18:20,18:35,18:50,19:20,19:50,20:20,20:50,21:20,21:35,21:50
8:10,8:25,8:40,8:55,9:10,9:25,9:40,9:55,10:10,10:25,10:40,10:55,11:10,11:25,11:40,11:55,12:10,12:25,12:55,13:25,,13:55,,14:25,14:40,,14:55,,15:10,15:25,15:40,,15:55,,16:10,16:25,16:40,,16:55,,17:10,17:25,17:40,,17:55,,18:10,18:25,18:40,18:55,19:25,19:55,20:25,20:55,21:25,21:40,21:55
8:20,8:35,8:50,9:05,9:20,9:35,9:50,10:05,10:20,10:35,10:50,11:05,11:20,11:35,11:50,12:05,12:20,12:35,13:05,13:35,,14:05,,14:35,14:50,,15:05,,15:20,15:35,15:50,,16:05,,16:20,16:35,16:50,,17:05,,17:20,17:35,17:50,,18:05,,18:20,18:35,18:50,19:05,19:35,20:05,20:35,21:05,21:35,21:50,22:05
8:25,8:40,8:55,9:10,9:25,9:40,9:55,10:10,10:25,10:40,10:55,11:10,11:25,11:40,11:55,12:10,12:25,12:40,13:10,13:40,,14:10,,14:40,14:55,,15:10,,15:25,15:40,15:55,,16:10,,16:25,16:40,16:55,,17:10,,17:25,17:40,17:55,,18:10,,18:25,18:40,18:55,19:10,19:40,20:10,20:40,21:10,21:40,21:55,22:10
8:35,8:50,9:05,9:20,9:35,9:50,10:05,10:20,10:35,10:50,11:05,11:20,11:35,11:50,12:05,12:20,12:35,12:50,13:20,13:50,,14:20,,14:50,15:05,14:20,15:20,,15:35,15:50,16:05,,16:20,,16:35,16:50,17:05,,17:20,,17:35,17:50,18:05,,18:20,,18:35,18:50,19:05,19:20,19:50,20:20,20:50,21:20,21:50,22:05,22:20
7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:30,13:00,13:20,13:30,13:40,14:00,14:15,14:28,14:30,14:40,14:45,15:00,15:15,15:20,15:30,15:40,15:45,16:00,16:15,16:20,16:30,16:40,16:45,17:00,17:15,17:20,17:30,17:40,17:45,18:00,18:15,18:30,19:00,19:30,20:00,20:30,21:00,21:15,21:30
7:53,8:08,8:23,8:38,8:53,9:08,9:23,9:38,9:53,10:08,10:23,10:38,10:53,11:08,11:23,11:38,11:53,12:08,12:38,13:08,13:28,13:38,13:48,14:08,14:23,14:33,14:38,14:48,14:53,15:08,15:23,15:28,15:38,15:48,15:53,16:08,16:23,16:28,16:38,16:48,16:53,17:08,17:23,17:28,17:38,17:48,17:53,18:08,18:23,18:38,19:08,19:38,20:08,20:38,21:08,21:23,21:38
7:58,8:13,8:28,8:43,8:58,9:13,9:28,9:43,9:58,10:13,10:28,10:43,10:58,11:13,11:28,11:43,11:58,12:13,12:43,13:13,13:33,13:43,13:53,14:13,14:28,,14:43,14:53,14:58,15:13,15:28,15:33,15:43,15:53,15:58,16:13,16:28,16:33,16:43,16:53,16:58,17:13,17:28,17:33,17:43,17:53,17:58,18:13,18:28,18:43,19:13,19:43,20:13,20:43,21:13,21:28,21:43
